,frame_idx,x1,y1,x2,y2,cx,cy,confidence,nearest_to_ball,dist_to_ball
189,100121,1138,350,1287,677,1212,513,0.86787695,False,177.79201331893398
190,100121,758,548,956,902,857,725,0.8627473,False,516.9535762522588
191,100121,495,527,587,884,541,705,0.7912369,False,825.4847060969694
192,100121,1373,475,1453,830,1413,652,0.77623206,True,66.84309986827361
193,100121,1294,823,1429,1076,1361,949,0.7477224,False,339.0
194,100121,813,416,909,655,861,535,0.7472144,False,505.5937104039171
195,100121,492,339,592,611,542,475,0.74634826,False,830.0518056121557
196,100121,1723,238,1805,560,1764,399,0.726287,False,454.89559241654564
197,100121,870,234,999,440,934,337,0.6657914,False,506.81160207714265
198,100121,1789,817,1889,1077,1839,947,0.65365607,False,584.8529729769697
199,100121,692,213,814,430,753,321,0.56643945,False,673.1901662977557
200,100121,1593,223,1706,493,1649,358,0.5653113,False,382.68524925844736
201,100121,1401,280,1510,466,1455,373,0.52391624,False,254.9607812978302
202,100122,759,547,953,902,856,724,0.87020504,False,517.7074463439752
203,100122,1138,350,1287,677,1212,513,0.86633414,False,177.79201331893398
204,100122,968,334,1116,672,1042,503,0.8527797,False,336.46693745448454
205,100122,498,527,589,884,543,705,0.7918965,False,823.4980267128756
206,100122,1372,476,1453,830,1412,653,0.78248113,True,66.70832032063167
207,100122,1297,821,1429,1076,1363,948,0.7700577,False,338.00591710797016
208,100122,497,339,592,610,544,474,0.7516998,False,828.2421143602878
209,100122,812,416,909,639,860,527,0.7442212,False,507.8287112796991
210,100122,1725,238,1807,560,1766,399,0.74401134,False,456.66836982650767
211,100122,870,234,999,440,934,337,0.6569534,False,506.81160207714265
212,100122,1793,817,1892,1077,1842,947,0.643044,False,587.3074152434992
213,100122,1593,223,1706,493,1649,358,0.5819845,False,382.68524925844736
214,100122,694,213,814,429,754,321,0.55763257,False,672.2871410342459
215,100122,1400,279,1509,466,1454,372,0.5294171,False,255.5249498581303
216,100123,759,546,945,902,852,724,0.8750585,False,522.5858781100002
217,100123,1138,350,1287,677,1212,513,0.8716719,False,178.63090438107287
218,100123,968,334,1116,672,1042,503,0.83669007,False,337.4151745253909
219,100123,503,528,589,884,546,706,0.7981182,False,821.6276528939371
220,100123,1299,820,1430,1076,1364,948,0.79725355,False,338.00591710797016
221,100123,1370,476,1454,830,1412,653,0.7948784,True,65.94694837519019
222,100123,813,416,909,637,861,526,0.78370804,False,507.9931101894985
223,100123,497,340,592,609,544,474,0.76746786,False,829.2285571541781
224,100123,1724,237,1807,560,1765,398,0.751076,False,455.3602969078442
225,100123,870,235,999,440,934,337,0.6663735,False,507.65441000743806
226,100123,1796,817,1894,1076,1845,946,0.651975,False,588.3748804971198
227,100123,1594,224,1706,492,1650,358,0.58970183,False,382.68524925844736
228,100123,692,213,814,429,753,321,0.5635364,False,674.0934653295491
229,100123,1401,277,1509,466,1455,371,0.556431,False,256.4566240127168
230,100125,1138,354,1286,677,1212,515,0.8667783,False,180.01388835309348
231,100125,761,546,941,902,851,724,0.8205324,False,523.8940732629069
232,100125,968,334,1119,671,1043,502,0.8095082,False,338.7048862948393
233,100125,1303,821,1433,1076,1368,948,0.79510534,False,335.0373113550191
234,100125,1370,476,1454,830,1412,653,0.7880358,True,63.25345840347388
235,100125,509,527,589,884,549,705,0.7781864,False,819.1825193447429
