quarter,time,team,action,points,score,frame_id
3,3:11.0,golden_state,Defensive rebound by D. Green,,74-66,
3,2:55.0,golden_state,K. Bazemore misses 3-pt jump shot from 25 ft,,74-66,
3,2:52.0,la_lakers,Defensive rebound by A. Davis,,74-66,
3,2:41.0,la_lakers,A. Caruso misses 2-pt layup from 5 ft (block by D. Green),,74-66,
3,2:39.0,golden_state,Defensive rebound by K. Bazemore,,74-66,
3,2:26.0,golden_state,D. Green misses 2-pt layup from 4 ft,,74-66,108301
3,2:25.0,golden_state,Offensive rebound by Team,,74-66,108331
3,2:25.0,golden_state,J. Poole enters the game for K. Bazemore,,74-66,108331
3,2:25.0,golden_state,A. Wiggins enters the game for M. Mulder,,74-66,108331
3,2:25.0,la_lakers,L. James enters the game for K. Caldwell-Pope,,74-66,108331
3,2:22.0,golden_state,Turnover by J. Poole (bad pass; steal by L. James),,74-66,
3,2:17.0,la_lakers,A. Davis makes 2-pt dunk from 2 ft (assist by K. Kuzma),+2,74-68,
3,1:58.0,golden_state,A. Wiggins misses 3-pt jump shot from 23 ft,,74-68,
3,1:55.0,la_lakers,Defensive rebound by A. Davis,,74-68,
3,1:48.0,la_lakers,K. Kuzma makes 2-pt layup from 3 ft (assist by L. James),+2,74-70,
3,1:48.0,golden_state,Golden State full timeout,,74-70,
3,1:31.0,golden_state,A. Wiggins misses 2-pt layup from 5 ft,,74-70,
3,1:27.0,golden_state,Offensive rebound by A. Wiggins,,74-70,
3,1:27.0,golden_state,A. Wiggins makes 2-pt layup at rim,+2,76-70,
