,frame_idx,x1,y1,x2,y2,confidence,class_id,class_name
321,3009,1214,418,1320,521,0.76337,37,sports ball
322,3020,1179,433,1290,541,0.7764454,37,sports ball
323,3031,1159,469,1260,566,0.78227794,37,sports ball
324,3042,1138,512,1236,609,0.74366546,37,sports ball
325,3072,677,495,907,701,0.5352525,37,sports ball
326,3073,682,493,905,695,0.75066763,37,sports ball
327,3077,699,399,901,570,0.840391,37,sports ball
328,3078,690,350,897,530,0.8054532,37,sports ball
329,3079,691,304,894,498,0.9073425,37,sports ball
330,3080,687,258,886,441,0.8846214,37,sports ball
331,3081,715,187,879,371,0.5848784,37,sports ball
332,3082,674,154,869,356,0.89415604,37,sports ball
333,3083,668,113,857,311,0.91206336,37,sports ball
334,3084,661,73,849,271,0.9120358,37,sports ball
335,3085,649,35,843,235,0.9293871,37,sports ball
336,3086,1120,897,1222,1003,0.9268709,37,sports ball
337,3087,638,3,835,203,0.931449,37,sports ball
338,3088,628,1,828,170,0.9337173,37,sports ball
339,3089,618,0,813,147,0.9123347,37,sports ball
340,3090,618,0,799,125,0.88740677,37,sports ball
341,3091,614,0,789,114,0.8769091,37,sports ball
342,3092,597,0,776,111,0.8473864,37,sports ball
343,3093,588,0,764,107,0.8602536,37,sports ball
344,3094,584,0,758,125,0.8792604,37,sports ball
345,3095,584,0,759,132,0.87246203,37,sports ball
346,3096,589,0,767,147,0.88921565,37,sports ball
347,3098,601,1,784,175,0.90736926,37,sports ball
348,3099,623,14,796,196,0.9133821,37,sports ball
349,3100,638,33,821,220,0.89220244,37,sports ball
350,3101,662,49,846,246,0.9080974,37,sports ball
351,3102,683,64,872,261,0.8988445,37,sports ball
352,3103,720,90,919,283,0.91116357,37,sports ball
353,3104,778,126,973,326,0.91851157,37,sports ball
354,3105,842,168,1040,367,0.90516126,37,sports ball
355,3106,927,213,1127,416,0.9373113,37,sports ball
356,3107,997,243,1201,448,0.9554516,37,sports ball
357,3110,1090,270,1297,474,0.954734,37,sports ball
358,3111,1170,283,1379,487,0.951699,37,sports ball
359,3112,1267,287,1480,493,0.95530653,37,sports ball
360,3113,1362,283,1580,491,0.9586766,37,sports ball
361,3114,1453,275,1672,487,0.9553397,37,sports ball
362,3115,1550,262,1773,477,0.9542125,37,sports ball
363,3116,1625,243,1850,461,0.95749336,37,sports ball
364,3117,1688,216,1915,436,0.9529995,37,sports ball
365,3118,1746,170,1918,394,0.9529542,37,sports ball
366,3119,1774,120,1918,347,0.93250674,37,sports ball
367,3121,1775,57,1918,283,0.9327697,37,sports ball
368,3122,1747,4,1918,229,0.93045074,37,sports ball
369,3123,1681,0,1904,171,0.839626,37,sports ball
370,3124,1583,0,1793,133,0.51810426,37,sports ball
371,3127,1234,0,1414,106,0.5527097,37,sports ball
372,3128,1135,0,1301,110,0.66438955,37,sports ball
373,3129,1048,0,1210,117,0.9020477,37,sports ball
374,3130,975,0,1127,126,0.879246,37,sports ball
375,3132,935,0,1084,139,0.8786724,37,sports ball
376,3133,915,8,1057,150,0.8579701,37,sports ball
377,3134,909,33,1047,168,0.9415888,37,sports ball
378,3136,923,86,1051,217,0.61207986,37,sports ball
379,3137,934,116,1058,241,0.9374417,37,sports ball
380,3138,954,143,1071,263,0.8907814,37,sports ball
381,3139,981,167,1095,284,0.9357034,37,sports ball
382,3140,1012,186,1125,300,0.9209563,37,sports ball
383,3141,1058,208,1165,318,0.9330161,37,sports ball
384,3143,1108,231,1213,337,0.9320978,37,sports ball
385,3144,1164,256,1266,359,0.8704428,37,sports ball
386,3145,1203,281,1300,387,0.8085978,37,sports ball
387,3146,1188,290,1282,388,0.7818908,37,sports ball
388,3147,1179,302,1271,391,0.75466114,37,sports ball
389,3148,1172,316,1260,390,0.66610354,37,sports ball
390,3149,1164,335,1258,418,0.5726557,37,sports ball
391,3152,1155,395,1246,475,0.5270169,37,sports ball
392,3153,1197,507,1309,622,0.87097865,37,sports ball
393,3164,1204,479,1313,596,0.9097827,37,sports ball
394,3166,1172,378,1262,458,0.5371761,37,sports ball
395,3168,1209,305,1298,390,0.5157158,37,sports ball
396,3169,1244,272,1334,352,0.7209112,37,sports ball
397,3169,1370,277,1446,346,0.60445887,37,sports ball
398,3170,1278,250,1364,342,0.61529905,37,sports ball
399,3171,1310,236,1390,326,0.74597776,37,sports ball
400,3171,1393,272,1466,342,0.598127,37,sports ball
401,3172,1339,226,1417,310,0.81647074,37,sports ball
402,3173,1351,221,1436,320,0.66339034,37,sports ball
403,3174,1373,218,1451,305,0.72956985,37,sports ball
404,3175,1208,466,1318,573,0.9073547,37,sports ball
405,3176,1386,217,1462,307,0.7940403,37,sports ball
406,3177,1390,216,1470,303,0.8151661,37,sports ball
407,3178,1391,216,1474,306,0.5391209,37,sports ball
408,3179,1394,215,1474,298,0.6816093,37,sports ball
409,3180,1392,212,1472,304,0.7414334,37,sports ball
410,3181,1382,203,1465,295,0.8037173,37,sports ball
411,3182,1363,188,1448,284,0.81439143,37,sports ball
412,3183,1338,173,1420,256,0.8935178,37,sports ball
413,3184,1309,162,1390,243,0.919932,37,sports ball
414,3185,1280,153,1358,234,0.9248339,37,sports ball
415,3186,1214,447,1322,558,0.84665847,37,sports ball
416,3187,1250,149,1328,226,0.92124516,37,sports ball
417,3188,1220,147,1296,222,0.9183201,37,sports ball
418,3189,1193,144,1265,218,0.91551524,37,sports ball
419,3190,1166,137,1237,210,0.9221028,37,sports ball
420,3191,1140,131,1212,201,0.9248185,37,sports ball
421,3192,1119,122,1186,191,0.92014796,37,sports ball
422,3193,1091,114,1157,181,0.9147852,37,sports ball
423,3194,1068,108,1133,172,0.8889017,37,sports ball
424,3195,1046,102,1110,167,0.9124607,37,sports ball
425,3196,1025,97,1086,158,0.9005186,37,sports ball
426,3197,1209,441,1320,546,0.8528927,37,sports ball
427,3198,1005,91,1064,153,0.85835296,37,sports ball
428,3199,987,86,1046,147,0.8859129,37,sports ball
429,3200,967,82,1023,143,0.83223337,37,sports ball
430,3201,950,84,1005,141,0.872338,37,sports ball
431,3202,933,84,986,139,0.83329624,37,sports ball
432,3203,918,85,971,138,0.8341356,37,sports ball
433,3204,905,87,955,140,0.7766701,37,sports ball
434,3205,890,90,939,141,0.8706689,37,sports ball
435,3206,877,94,924,144,0.8152285,37,sports ball
436,3207,863,98,911,146,0.8726484,37,sports ball
437,3208,1205,443,1312,542,0.7569857,37,sports ball
438,3209,851,104,897,149,0.83806497,37,sports ball
439,3210,842,110,888,156,0.7126711,37,sports ball
440,3211,830,119,872,163,0.8007179,37,sports ball
441,3212,820,127,863,171,0.5579814,37,sports ball
442,3213,809,136,850,179,0.84118295,37,sports ball
443,3214,801,145,841,187,0.8158069,37,sports ball
444,3215,792,155,832,197,0.75247765,37,sports ball
445,3216,781,166,822,207,0.8582182,37,sports ball
446,3217,773,177,813,217,0.8786486,37,sports ball
447,3218,766,185,805,225,0.8636165,37,sports ball
448,3220,1195,446,1304,546,0.69056195,37,sports ball
449,3221,758,193,798,232,0.87757134,37,sports ball
450,3222,750,200,788,237,0.882691,37,sports ball
451,3223,740,208,777,247,0.85127294,37,sports ball
452,3224,730,218,767,255,0.8052679,37,sports ball
453,3225,722,225,758,263,0.8217938,37,sports ball
454,3226,714,234,749,273,0.83415234,37,sports ball
455,3227,707,244,743,283,0.7783128,37,sports ball
456,3228,698,256,734,295,0.75910866,37,sports ball
457,3229,692,269,724,306,0.6859406,37,sports ball
458,3231,1187,450,1292,554,0.73122805,37,sports ball
459,3235,651,341,684,374,0.73358077,37,sports ball
460,3236,644,354,678,386,0.8308663,37,sports ball
461,3237,637,372,670,407,0.7164935,37,sports ball
462,3238,628,386,665,424,0.6612461,37,sports ball
463,3239,621,402,655,434,0.74547374,37,sports ball
464,3240,615,418,649,452,0.60725266,37,sports ball
465,3242,1174,460,1281,572,0.6511961,37,sports ball
466,3248,644,508,678,542,0.8746853,37,sports ball
467,3249,653,519,685,553,0.71783847,37,sports ball
468,3250,663,529,698,565,0.8608649,37,sports ball
469,3251,675,541,708,575,0.80648977,37,sports ball
470,3252,685,553,719,589,0.88846827,37,sports ball
471,3253,1162,482,1274,593,0.881326,37,sports ball
472,3254,696,569,730,603,0.600553,37,sports ball
473,3255,705,585,742,619,0.6211222,37,sports ball
474,3261,753,705,790,738,0.5790863,37,sports ball
475,3262,753,731,794,765,0.5238301,37,sports ball
476,3264,1152,522,1256,620,0.7903173,37,sports ball
477,3275,1142,570,1245,658,0.83839303,37,sports ball
478,3304,231,780,352,932,0.8112598,37,sports ball
479,3305,264,774,391,929,0.8010001,37,sports ball
480,3306,299,770,432,922,0.84733593,37,sports ball
481,3307,345,762,480,907,0.9041275,37,sports ball
482,3308,1151,843,1255,962,0.7002396,37,sports ball
483,3309,397,753,534,897,0.9286268,37,sports ball
484,3319,1171,844,1279,935,0.8364126,37,sports ball
485,3331,1188,750,1291,865,0.7402178,37,sports ball
486,3342,1205,688,1311,772,0.555449,37,sports ball
487,3353,1208,615,1316,716,0.8591759,37,sports ball
488,3364,1193,575,1300,680,0.7662928,37,sports ball
489,3375,1155,553,1280,659,0.8139341,37,sports ball
490,3386,1131,544,1238,645,0.81959987,37,sports ball
491,3397,1072,552,1180,651,0.760889,37,sports ball
492,3408,990,565,1104,663,0.58950275,37,sports ball
493,3419,973,575,1073,676,0.7507163,37,sports ball
494,3430,957,579,1055,681,0.5580361,37,sports ball
495,3442,919,577,1033,680,0.72267157,37,sports ball
496,3453,919,581,1019,680,0.8117458,37,sports ball
497,3464,899,585,1008,690,0.910536,37,sports ball
498,3475,897,602,1013,701,0.89158005,37,sports ball
499,3486,888,624,1007,724,0.77364814,37,sports ball
500,3497,885,623,1008,726,0.5334501,37,sports ball
501,3512,760,369,792,396,0.5073907,37,sports ball
502,3514,1269,362,1292,392,0.52443844,37,sports ball
503,3522,1052,361,1092,391,0.6052978,37,sports ball
504,3522,1292,356,1318,387,0.5162381,37,sports ball
505,3523,1070,376,1101,418,0.5456563,37,sports ball
506,3527,1127,497,1161,532,0.74884266,37,sports ball
